"PartID" "Trial" "Length" "VerbType" "Item" "Age" "Gender" "EV" "Distractor" "Subject" "Agent" "Patient" "LC" "LCC" "PC" "PCC" "AC" "EVC" "AgeGroup" "AGC" "AGCC"
"SP_P1_L1R1" 1 "Short" "NPred" 9 59 "M" 34 0 0 1 0 -0.5 -0.492921492921493 -0.5 -0.49034749034749 9.31274131274131 11.6036036036036 "Older" 0.5 0.464607464607465
"SP_P1_L1R1" 2 "Short" "Pred" 10 59 "M" 34 1 0 0 0 -0.5 -0.492921492921493 0.5 0.50965250965251 9.31274131274131 11.6036036036036 "Older" 0.5 0.464607464607465
"SP_P1_L1R1" 3 "Long" "Pred" 7 59 "M" 34 0 0 0 0 0.5 0.507078507078507 0.5 0.50965250965251 9.31274131274131 11.6036036036036 "Older" 0.5 0.464607464607465
"SP_P1_L1R1" 4 "Short" "Pred" 16 59 "M" 34 0 0 1 0 -0.5 -0.492921492921493 0.5 0.50965250965251 9.31274131274131 11.6036036036036 "Older" 0.5 0.464607464607465
"SP_P1_L1R1" 5 "Long" "NPred" 8 59 "M" 34 0 0 0 1 0.5 0.507078507078507 -0.5 -0.49034749034749 9.31274131274131 11.6036036036036 "Older" 0.5 0.464607464607465
"SP_P1_L1R1" 6 "Short" "NPred" 12 59 "M" 34 0 0 0 0 -0.5 -0.492921492921493 -0.5 -0.49034749034749 9.31274131274131 11.6036036036036 "Older" 0.5 0.464607464607465
"SP_P1_L1R1" 7 "Short" "Pred" 11 59 "M" 34 0 0 0 0 -0.5 -0.492921492921493 0.5 0.50965250965251 9.31274131274131 11.6036036036036 "Older" 0.5 0.464607464607465
"SP_P1_L1R1" 8 "Long" "Pred" 3 59 "M" 34 0 0 0 1 0.5 0.507078507078507 0.5 0.50965250965251 9.31274131274131 11.6036036036036 "Older" 0.5 0.464607464607465
"SP_P1_L1R1" 9 "Long" "Pred" 6 59 "M" 34 0 0 0 0 0.5 0.507078507078507 0.5 0.50965250965251 9.31274131274131 11.6036036036036 "Older" 0.5 0.464607464607465
"SP_P1_L1R1" 10 "Short" "NPred" 2 59 "M" 34 0 0 0 0 -0.5 -0.492921492921493 -0.5 -0.49034749034749 9.31274131274131 11.6036036036036 "Older" 0.5 0.464607464607465
"SP_P1_L1R1" 11 "Long" "NPred" 5 59 "M" 34 0 0 0 0 0.5 0.507078507078507 -0.5 -0.49034749034749 9.31274131274131 11.6036036036036 "Older" 0.5 0.464607464607465
"SP_P1_L1R1" 12 "Long" "NPred" 15 59 "M" 34 0 0 0 0 0.5 0.507078507078507 -0.5 -0.49034749034749 9.31274131274131 11.6036036036036 "Older" 0.5 0.464607464607465
"SP_P10_L2R1" 2 "Short" "NPred" 8 52 "M" 21 0 0 0 0 -0.5 -0.492921492921493 -0.5 -0.49034749034749 2.31274131274131 -1.3963963963964 "Older" 0.5 0.464607464607465
"SP_P10_L2R1" 3 "Long" "Pred" 2 52 "M" 21 0 0 1 0 0.5 0.507078507078507 0.5 0.50965250965251 2.31274131274131 -1.3963963963964 "Older" 0.5 0.464607464607465
"SP_P10_L2R1" 4 "Long" "Pred" 9 52 "M" 21 0 0 0 1 0.5 0.507078507078507 0.5 0.50965250965251 2.31274131274131 -1.3963963963964 "Older" 0.5 0.464607464607465
"SP_P10_L2R1" 5 "Short" "Pred" 6 52 "M" 21 0 0 0 0 -0.5 -0.492921492921493 0.5 0.50965250965251 2.31274131274131 -1.3963963963964 "Older" 0.5 0.464607464607465
"SP_P10_L2R1" 6 "Short" "Pred" 3 52 "M" 21 0 0 0 0 -0.5 -0.492921492921493 0.5 0.50965250965251 2.31274131274131 -1.3963963963964 "Older" 0.5 0.464607464607465
"SP_P10_L2R1" 7 "Long" "NPred" 11 52 "M" 21 1 0 1 0 0.5 0.507078507078507 -0.5 -0.49034749034749 2.31274131274131 -1.3963963963964 "Older" 0.5 0.464607464607465
"SP_P10_L2R1" 8 "Short" "NPred" 15 52 "M" 21 0 1 0 0 -0.5 -0.492921492921493 -0.5 -0.49034749034749 2.31274131274131 -1.3963963963964 "Older" 0.5 0.464607464607465
"SP_P10_L2R1" 9 "Short" "NPred" 5 52 "M" 21 0 0 0 1 -0.5 -0.492921492921493 -0.5 -0.49034749034749 2.31274131274131 -1.3963963963964 "Older" 0.5 0.464607464607465
"SP_P10_L2R1" 10 "Long" "NPred" 16 52 "M" 21 1 0 0 0 0.5 0.507078507078507 -0.5 -0.49034749034749 2.31274131274131 -1.3963963963964 "Older" 0.5 0.464607464607465
"SP_P10_L2R1" 11 "Long" "Pred" 12 52 "M" 21 0 0 0 1 0.5 0.507078507078507 0.5 0.50965250965251 2.31274131274131 -1.3963963963964 "Older" 0.5 0.464607464607465
"SP_P10_L2R1" 12 "Long" "NPred" 10 52 "M" 21 0 0 0 0 0.5 0.507078507078507 -0.5 -0.49034749034749 2.31274131274131 -1.3963963963964 "Older" 0.5 0.464607464607465
"SP_P11_L3R1" 1 "Short" "Pred" 2 41 "M" 15 0 0 1 0 -0.5 -0.492921492921493 0.5 0.50965250965251 -8.68725868725869 -7.3963963963964 "Younger" -0.5 -0.535392535392535
"SP_P11_L3R1" 2 "Short" "NPred" 10 41 "M" 15 0 0 0 1 -0.5 -0.492921492921493 -0.5 -0.49034749034749 -8.68725868725869 -7.3963963963964 "Younger" -0.5 -0.535392535392535
"SP_P11_L3R1" 3 "Short" "NPred" 11 41 "M" 15 1 0 1 0 -0.5 -0.492921492921493 -0.5 -0.49034749034749 -8.68725868725869 -7.3963963963964 "Younger" -0.5 -0.535392535392535
"SP_P11_L3R1" 4 "Long" "Pred" 15 41 "M" 15 0 1 0 0 0.5 0.507078507078507 0.5 0.50965250965251 -8.68725868725869 -7.3963963963964 "Younger" -0.5 -0.535392535392535
"SP_P11_L3R1" 5 "Short" "NPred" 16 41 "M" 15 1 0 0 0 -0.5 -0.492921492921493 -0.5 -0.49034749034749 -8.68725868725869 -7.3963963963964 "Younger" -0.5 -0.535392535392535
"SP_P11_L3R1" 6 "Long" "NPred" 6 41 "M" 15 0 0 0 1 0.5 0.507078507078507 -0.5 -0.49034749034749 -8.68725868725869 -7.3963963963964 "Younger" -0.5 -0.535392535392535
"SP_P11_L3R1" 8 "Long" "NPred" 7 41 "M" 15 0 1 1 0 0.5 0.507078507078507 -0.5 -0.49034749034749 -8.68725868725869 -7.3963963963964 "Younger" -0.5 -0.535392535392535
"SP_P11_L3R1" 9 "Long" "NPred" 3 41 "M" 15 0 0 1 0 0.5 0.507078507078507 -0.5 -0.49034749034749 -8.68725868725869 -7.3963963963964 "Younger" -0.5 -0.535392535392535
"SP_P11_L3R1" 10 "Short" "Pred" 9 41 "M" 15 0 1 0 1 -0.5 -0.492921492921493 0.5 0.50965250965251 -8.68725868725869 -7.3963963963964 "Younger" -0.5 -0.535392535392535
"SP_P11_L3R1" 11 "Long" "Pred" 5 41 "M" 15 1 0 0 0 0.5 0.507078507078507 0.5 0.50965250965251 -8.68725868725869 -7.3963963963964 "Younger" -0.5 -0.535392535392535
"SP_P11_L3R1" 12 "Short" "Pred" 12 41 "M" 15 0 1 0 1 -0.5 -0.492921492921493 0.5 0.50965250965251 -8.68725868725869 -7.3963963963964 "Younger" -0.5 -0.535392535392535
"SP_P13_L1R2" 1 "Long" "Pred" 6 47 "F" 19 0 0 0 1 0.5 0.507078507078507 0.5 0.50965250965251 -2.68725868725869 -3.3963963963964 "Younger" -0.5 -0.535392535392535
"SP_P13_L1R2" 2 "Short" "NPred" 9 47 "F" 19 0 0 0 1 -0.5 -0.492921492921493 -0.5 -0.49034749034749 -2.68725868725869 -3.3963963963964 "Younger" -0.5 -0.535392535392535
"SP_P13_L1R2" 3 "Long" "Pred" 3 47 "F" 19 0 0 0 1 0.5 0.507078507078507 0.5 0.50965250965251 -2.68725868725869 -3.3963963963964 "Younger" -0.5 -0.535392535392535
"SP_P13_L1R2" 4 "Long" "NPred" 5 47 "F" 19 1 0 0 1 0.5 0.507078507078507 -0.5 -0.49034749034749 -2.68725868725869 -3.3963963963964 "Younger" -0.5 -0.535392535392535
"SP_P13_L1R2" 5 "Long" "NPred" 15 47 "F" 19 1 0 0 0 0.5 0.507078507078507 -0.5 -0.49034749034749 -2.68725868725869 -3.3963963963964 "Younger" -0.5 -0.535392535392535
"SP_P13_L1R2" 6 "Short" "Pred" 16 47 "F" 19 1 0 0 0 -0.5 -0.492921492921493 0.5 0.50965250965251 -2.68725868725869 -3.3963963963964 "Younger" -0.5 -0.535392535392535
"SP_P13_L1R2" 7 "Short" "NPred" 2 47 "F" 19 0 0 0 1 -0.5 -0.492921492921493 -0.5 -0.49034749034749 -2.68725868725869 -3.3963963963964 "Younger" -0.5 -0.535392535392535
"SP_P13_L1R2" 8 "Long" "NPred" 8 47 "F" 19 0 0 1 0 0.5 0.507078507078507 -0.5 -0.49034749034749 -2.68725868725869 -3.3963963963964 "Younger" -0.5 -0.535392535392535
"SP_P13_L1R2" 10 "Short" "Pred" 11 47 "F" 19 1 1 0 0 -0.5 -0.492921492921493 0.5 0.50965250965251 -2.68725868725869 -3.3963963963964 "Younger" -0.5 -0.535392535392535
